Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.314798832,-0.52931,-1.303404,-1.865306,-0.06982491,-0.7072692,0.6954488,4.166455,43.06207,-12.48751,992.2418
0.324944019,-0.1571948,0.1082963,-1.55727,-0.08633924,-0.7060313,0.6961007,4.166455,43.06207,-12.48751,992.2418
0.332553387,-0.1571245,-1.008326,-1.678238,-0.07904032,-0.7064413,0.6979789,4.152253,43.0625,-13.38032,992.2418
0.340161800,-0.775905,-0.4783853,-1.554318,-0.07471403,-0.7048993,0.6935967,4.152253,43.0625,-13.38032,992.2418
0.347771168,0.2769968,-0.3604692,-1.369287,-0.08095959,-0.7122144,0.6934767,4.152253,43.0625,-13.38032,992.2418
0.355379581,-0.03270901,-0.6537837,-1.429186,-0.07755402,-0.7021753,0.7082929,4.152253,43.0625,-13.38032,992.2478
0.362988949,-0.0943338,-0.6532785,-1.611424,-0.07223724,-0.7125614,0.6904749,4.152253,43.0625,-13.38032,992.2478
0.370597362,0.3391528,-0.8876858,-1.365267,-0.07270567,-0.7068723,0.7008384,4.152253,43.0625,-13.38032,992.2478
0.378206730,-0.03251993,-0.5344905,-1.119206,-0.07555531,-0.7131893,0.7016878,4.152253,43.0625,-13.38032,992.2478
0.385815620,0.09124975,-0.8866598,-1.179398,-0.06828044,-0.7130899,0.7006564,3.77115,43.0652,-13.8221,992.2478
0.393424511,0.2150584,-0.5332993,-0.8112126,-0.07264917,-0.7117146,0.7026724,3.77115,43.0652,-13.8221,992.2478
0.401033401,0.02916944,-0.2390504,-0.6269207,-0.07703223,-0.7112731,0.7012579,3.77115,43.0652,-13.8221,992.2478
0.408642769,0.3385867,-0.5325716,-0.5651414,-0.07798694,-0.7141663,0.6997371,3.77115,43.0652,-13.8221,992.2478
0.418787956,0.09066398,-0.3556955,-0.5645661,-0.07939813,-0.7123398,0.7090439,3.77115,43.0652,-13.8221,992.2478
0.426396370,0.2144537,-0.2377104,-0.3193179,-0.07366367,-0.709761,0.6988308,3.77115,43.0652,-13.8221,992.2478
0.434005737,0.2142905,-0.1199288,-0.2577899,-0.07462529,-0.7050204,0.7067413,3.785351,43.06477,-12.92929,992.2443
0.441614151,-0.2191535,-0.1786316,-0.2575662,-0.07648134,-0.7142155,0.707028,3.785351,43.06477,-12.92929,992.2443
0.449223518,-0.2190637,-0.1197584,-0.1961733,-0.0755356,-0.7132162,0.7046089,3.785351,43.06477,-12.92929,992.2443
0.456832409,-0.2189545,0.1154696,-0.01244167,-0.07798309,-0.7084532,0.7081494,3.785351,43.06477,-12.92929,992.2443
0.464441299,-0.09493143,0.1741581,0.1711553,-0.07218045,-0.7145451,0.6962716,3.785351,43.06477,-12.92929,992.2443
0.472050190,0.4003669,0.05639941,-0.01272577,-0.07469669,-0.7068292,0.6935513,3.785351,43.06477,-12.92929,992.2443
0.479659557,0.09046709,0.1738854,-0.07396016,-0.07714118,-0.7049294,0.6936159,3.785351,43.06477,-12.92929,992.2461
0.487267971,0.3379377,-0.472513,-0.1350407,-0.07412951,-0.7112235,0.6997743,4.147725,43.43132,-13.38206,992.2461
0.494877338,0.7089336,-0.2959345,-0.1961599,-0.08339681,-0.7031766,0.7044218,4.147725,43.43132,-13.38206,992.2461
0.502485752,0.6464739,-0.589439,-0.1959366,-0.07363185,-0.7093279,0.7041973,4.147725,43.43132,-13.38206,992.2461
0.510091305,0.6458843,-0.1186716,0.1714763,-0.07362569,-0.7136252,0.6992269,4.147725,43.43132,-13.38206,992.2461
0.520236492,0.5831646,-0.2946744,-0.01213214,-0.07566056,-0.7025619,0.7004768,4.147725,43.43132,-13.38206,992.2443
0.527844906,0.5825763,-0.118005,0.2326917,-0.0726749,-0.7059612,0.7067032,4.147725,43.43132,-13.38206,992.2443
0.535454273,0.396341,-0.2354883,0.2324725,-0.07077395,-0.7082642,0.6973811,3.773722,43.4338,-13.37743,992.2443
0.543063164,0.6435235,-0.0001142216,0.1710648,-0.07077263,-0.7058833,0.7008457,3.773722,43.4338,-13.37743,992.2443
0.550672054,0.5191781,0.05853548,0.2931848,-0.08050423,-0.7059724,0.6975149,3.773722,43.4338,-13.37743,992.2443
0.558280945,0.4568388,-0.0002061821,0.2317007,-0.06587183,-0.7120814,0.6991993,3.773722,43.4338,-13.37743,992.2465
0.565890312,0.6421531,0.05849892,0.5374066,-0.07071269,-0.7093008,0.7051479,3.773722,43.4338,-13.37743,992.2465
0.573498726,0.5177702,-0.1178557,0.5370156,-0.07462885,-0.7078747,0.7022917,3.773722,43.4338,-13.37743,992.2465
0.581108093,0.3935433,0.05859183,0.5365097,-0.07120275,-0.7116832,0.7012004,4.168408,42.32465,-12.93044,992.2465
0.588716507,0.6407089,-0.05894716,0.6582854,-0.07756774,-0.707875,0.6984201,4.168408,42.32465,-12.93044,992.2465
0.596326351,0.6400858,0.05859216,0.6576844,-0.07804359,-0.7107534,0.6959218,4.168408,42.32465,-12.93044,992.2465
0.603934288,0.7632412,-0.05881758,0.6570071,-0.07655917,-0.7145858,0.6948458,4.168408,42.32465,-12.93044,992.2448
0.614079952,1.257219,0.0001642952,0.8398055,-0.08003272,-0.7026116,0.7000246,4.168408,42.32465,-12.93044,992.2448
0.621688843,1.503552,0.05899831,0.4718822,-0.08636274,-0.6998043,0.7011165,4.168408,42.32465,-12.93044,992.2448
