Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.314234733,-0.6413764,-0.1340536,-0.05113336,-0.1380398,-0.7329559,0.6788657,11.14435,33.62465,-3.40065,992.1932
0.321837425,-0.4541613,-0.01577502,0.01011381,-0.1374936,-0.7354586,0.6860445,11.14435,33.62465,-3.40065,992.1932
0.329439640,-0.3915558,-0.07497561,-0.1124092,-0.1322664,-0.7279236,0.6731817,11.14435,33.62465,-3.40065,992.1932
0.337042332,-0.391226,0.2798863,-0.1735408,-0.1307499,-0.7294827,0.6837633,11.14435,33.62465,-3.40065,992.1914
0.344645023,0.04446372,0.3386894,0.01023895,-0.1297439,-0.731379,0.6822616,11.14435,33.62465,-3.40065,992.1914
0.352246761,0.230935,0.3976787,0.1325503,-0.1312282,-0.7295489,0.6881103,11.14435,33.62465,-3.40065,992.1914
0.359853268,-0.01805149,0.3381628,-0.05128697,-0.1342098,-0.7275859,0.6814082,10.75838,34.00538,-3.398796,992.1914
0.367452144,-0.01809312,0.04217556,0.1323968,-0.1351659,-0.7286047,0.6838,10.75838,34.00538,-3.398796,992.1914
0.375054836,-0.1424312,0.337823,0.1935673,-0.1307425,-0.7290801,0.6900531,10.75838,34.00538,-3.398796,992.1914
0.382657051,-0.08008034,0.0418547,0.1320512,-0.1390082,-0.7330258,0.6827312,10.75838,34.00538,-3.398796,992.1914
0.390259266,-0.3910881,0.04188957,0.07076631,-0.1394944,-0.7326083,0.6870909,10.75838,34.00538,-3.398796,992.1914
0.397861481,0.04469918,0.100917,-0.1743465,-0.1483576,-0.7298035,0.6809123,10.75838,34.00538,-3.398796,992.1914
0.405464172,-0.2663675,-0.1357056,-0.3579332,-0.1414406,-0.7326981,0.690959,11.14197,34.00089,-3.395285,992.1914
0.415600777,-0.1414824,0.2192746,-0.7248893,-0.1399701,-0.7340133,0.6827086,11.14197,34.00089,-3.395285,992.1914
0.423203468,-0.3901767,-0.1355747,-0.7241678,-0.1308042,-0.7261024,0.6843343,11.14197,34.00089,-3.395285,992.1914
0.430806160,-0.3275924,-0.01722036,-0.6622287,-0.1350534,-0.7349438,0.6874992,11.14197,34.00089,-3.395285,992.1914
0.438407898,-0.2651453,-0.1355236,-0.6002711,-0.1306754,-0.7342954,0.6817058,11.14197,34.00089,-3.395285,992.1914
0.446010589,-0.4515845,0.1010387,-0.5384296,-0.1331671,-0.7310024,0.6851805,11.14197,34.00089,-3.395285,992.1914
0.453613281,-0.140193,-0.1355282,-0.5378838,-0.1302519,-0.7299627,0.6842322,11.14197,34.00089,-3.395285,992.1914
0.461215496,-0.07790293,0.1010341,-0.6598135,-0.1267899,-0.732312,0.6841602,11.52794,33.62016,-3.397141,992.1914
0.468818188,-0.01565197,0.04209499,-0.4142996,-0.1229579,-0.7273945,0.6842759,11.52794,33.62016,-3.397141,992.1914
0.476420402,-0.140051,0.1602448,-0.1689786,-0.126284,-0.7332758,0.6846166,11.52794,33.62016,-3.397141,992.1914
0.484022617,0.171047,0.3376102,0.01493153,-0.1380384,-0.7311958,0.6924364,11.52794,33.62016,-3.397141,992.1914
0.491625309,0.04653068,0.1006903,-0.04633925,-0.1379904,-0.7349848,0.6860583,11.52794,33.62016,-3.397141,992.1914
0.499229431,-0.01572981,0.04143568,-0.2299696,-0.1302242,-0.7309927,0.6890357,11.52794,33.62016,-3.397141,992.1914
0.509364605,0.2330197,0.1594616,0.01526921,-0.1362054,-0.7256469,0.6780837,10.44111,33.63287,-3.407085,992.1914
0.516967296,-0.1403629,0.2187312,-0.1682652,-0.1341152,-0.732505,0.6875596,10.44111,33.63287,-3.407085,992.1914
0.524569034,0.4195237,-0.313931,-0.5969231,-0.1293139,-0.7261975,0.6939877,10.44111,33.63287,-3.407085,992.1914
0.532171726,0.1704378,0.5142295,-0.0453002,-0.1302266,-0.7309803,0.6880699,10.44111,33.63287,-3.407085,992.1914
0.539773941,0.356888,-0.07757377,-0.3515412,-0.1395775,-0.7281916,0.6823755,10.44111,33.63287,-3.407085,992.1896
0.547376633,0.107822,0.3364874,-0.04500329,-0.1396021,-0.726294,0.6853231,10.44111,33.63287,-3.407085,992.1896
0.554979324,0.2321342,0.2771221,-0.4122703,-0.134637,-0.7305735,0.6871284,10.76077,33.62914,-3.404161,992.1896
0.562581062,0.04530462,-0.07772593,-0.4118049,-0.1311648,-0.7334191,0.6880096,10.76077,33.62914,-3.404161,992.1896
0.570183754,0.1695975,0.04051819,-0.3501217,-0.1331929,-0.7290986,0.6876452,10.76077,33.62914,-3.404161,992.1896
0.577786446,0.293871,0.04046149,-0.3497533,-0.127361,-0.7265852,0.6896242,10.76077,33.62914,-3.404161,992.1914
0.585389137,0.4803223,0.217884,-0.1044546,-0.1385213,-0.7325633,0.6851568,10.76077,33.62914,-3.404161,992.1914
0.592991352,0.479772,-0.07800848,-0.2267927,-0.1264034,-0.7251328,0.691108,10.76077,33.62914,-3.404161,992.1914
0.603127956,0.4792866,0.1586169,-0.04269922,-0.1229596,-0.7265019,0.6900955,11.14544,33.25729,-3.853033,992.1914
0.610730648,0.7277406,0.1585604,0.3859649,-0.126901,-0.7242126,0.6940317,11.14544,33.25729,-3.853033,992.1914
0.618332386,0.5405614,0.2765261,0.324306,-0.1415795,-0.7253351,0.6829391,11.14544,33.25729,-3.853033,992.1914
0.625935078,0.4156383,-0.1375925,0.07905054,-0.1381347,-0.7253842,0.6921046,11.14544,33.25729,-3.853033,992.1914
0.633537769,0.104359,0.3354806,-0.04361435,-0.141992,-0.729284,0.6881512,11.14544,33.25729,-3.853033,992.1914
0.641140461,0.2286157,-0.01951521,-0.2272665,-0.1390967,-0.7263716,0.692082,11.14544,33.25729,-3.853033,992.1914
0.648743153,-0.02030988,-0.2559871,-0.3495466,-0.1337314,-0.7257534,0.6901489,11.14544,33.25729,-3.853033,992.1914
0.656344891,0.2907338,0.09900819,-0.4104355,-0.1273296,-0.7289604,0.6861811,10.76683,32.86776,-2.967876,992.1896
0.663947582,-0.2692163,-0.1966423,-0.4100488,-0.1273363,-0.7284829,0.6866766,10.76683,32.86776,-2.967876,992.1896
0.671549797,-0.08241039,0.03994046,-0.2872067,-0.1342171,-0.7262221,0.6882062,10.76683,32.86776,-2.967876,992.1896
0.679152489,-0.3311798,-0.2556729,-0.3481543,-0.1253043,-0.7323821,0.6918823,10.76683,32.86776,-2.967876,992.1896
0.686755180,-0.144296,-0.07806428,-0.2254283,-0.1297404,-0.7313978,0.6837103,10.76683,32.86776,-2.967876,992.1896
0.696891785,-0.2686067,-0.07794766,0.01974711,-0.1287432,-0.7323642,0.6851311,10.76683,32.86776,-2.967876,992.1896
0.704493523,0.1671434,-0.1961008,-0.0415282,-0.1302586,-0.7294852,0.6847276,10.76444,33.24401,-2.962511,992.1896
0.712096214,-0.01962492,-0.1367748,0.0197292,-0.1342346,-0.7243619,0.694051,10.76444,33.24401,-2.962511,992.1896
0.719698906,-0.39275,-0.3731734,0.01963366,-0.1366647,-0.7271394,0.6804615,10.76444,33.24401,-2.962511,992.1896
0.727301598,-0.0813944,-0.4320744,-0.2253348,-0.12738,-0.7251589,0.6915934,10.76444,33.24401,-2.962511,992.1896
0.734903812,-0.3300475,0.1595028,0.1422255,-0.1406221,-0.7225562,0.6941181,10.76444,33.24401,-2.962511,992.1896
0.742506027,-0.3298342,-0.3725278,0.1422839,-0.1233998,-0.7294208,0.6905041,10.76444,33.24401,-2.962511,992.1937
0.750108719,-0.1429517,0.3961939,0.3257468,-0.1503171,-0.7302645,0.6760762,10.76444,33.24401,-2.962511,992.1937
0.757710934,-0.0808349,-0.8456609,-0.4093714,-0.1238391,-0.732786,0.6880029,10.76185,33.26177,-3.856544,992.1937
